0,Mean LS,Mean LS extension,Max LS,Max LS extension,Onset of Mortality,Onset of Mortality extension,Num mice
1,833,-5.96,1023,-6.18,627,-5.62,15
2,950,7.21,1124,3.12,796,19.83,15
3,941,6.23,1134,4.04,734,10.59,15
4,979,10.49,1141,4.71,794,19.53,15
5,960,8.36,1188,9.02,730,9.94,15
6,864,-2.49,1148,5.32,588,-11.50,15
7,925,4.44,1147,5.23,662,-0.25,15
8,901,1.69,1135,4.10,695,4.72,15
9,950,7.27,1163,6.70,608,-8.38,15
10,924,4.30,1070,-1.83,708,6.68,15
11,903,1.96,1145,5.08,592,-10.89,15
12,812,-8.39,990,-9.14,575,-13.35,15
13,940,6.13,1127,3.39,749,12.75,15
14,898,1.35,1046,-4.04,721,8.58,15
15,904,2.10,1124,3.12,664,0.00,15
16,823,-7.06,988,-9.39,643,-3.21,15
17,865,-2.34,1038,-4.74,668,0.55,15
18,907,2.40,1070,-1.80,730,9.99,15
19,894,0.90,1062,-2.57,731,10.14,15
20,895,1.06,1127,3.39,715,7.68,15
21,905,2.14,1099,0.83,673,1.36,15
22,846,-4.46,1093,0.24,649,-2.21,15
23,947,6.90,1136,4.22,826,24.45,15
24,864,-2.50,1073,-1.59,574,-13.55,15
25,911,2.85,1170,7.31,713,7.38,15
26,908,2.46,1159,6.36,652,-1.76,15
27,798,-9.95,902,-17.22,670,0.85,15
28,810,-8.55,1006,-7.74,636,-4.27,15
29,872,-1.54,1083,-0.64,679,2.31,15
30,956,7.96,1197,9.85,655,-1.31,15
31,870,-1.77,1095,0.43,627,-5.57,15
32,956,7.94,1197,9.85,736,10.89,15
33,939,5.99,1221,12.05,615,-7.33,15
34,965,8.97,1184,8.62,787,18.57,15
35,957,8.04,1212,11.22,748,12.70,15
36,953,7.56,1163,6.70,742,11.80,15
37,815,-7.95,1064,-2.39,604,-9.09,15
38,902,1.86,1185,8.75,647,-2.56,15
39,977,10.31,1158,6.24,700,5.37,15
40,974,9.96,1215,11.47,810,21.94,15
41,897,1.22,1134,4.04,667,0.40,15
42,870,-1.78,1052,-3.49,653,-1.61,15
43,904,2.07,1095,0.49,678,2.06,15
44,788,-11.07,966,-11.41,513,-22.69,15
45,868,-2.04,1165,6.91,519,-21.89,15
47,907,2.36,1123,3.03,654,-1.46,15
48,885,-0.12,1099,0.80,700,5.42,15
49,951,7.39,1250,14.68,624,-6.07,15
50,881,-0.55,1103,1.16,675,1.61,15
51,934,5.39,1142,4.74,674,1.51,15
52,903,1.97,1118,2.60,687,3.51,15
53,932,5.26,1067,-2.14,789,18.83,15
54,957,8.03,1194,9.54,709,6.83,15
55,937,5.78,1234,13.18,664,0.05,15
56,821,-7.37,999,-8.35,610,-8.08,15
57,941,6.26,1107,1.59,706,6.33,15
58,888,0.26,1070,-1.80,728,9.69,15
59,814,-8.16,1063,-2.45,549,-17.37,15
60,790,-10.87,918,-15.78,606,-8.68,15
61,982,10.83,1148,5.35,835,25.70,15
62,976,10.21,1204,10.49,704,6.02,15
63,915,3.25,1128,3.46,706,6.33,15
64,836,-5.60,1094,0.34,503,-24.20,15
65,885,-0.15,1009,-7.40,757,14.06,15
66,790,-10.85,1044,-4.22,530,-20.23,15
67,1004,13.37,1116,2.39,825,24.25,15
68,877,-1.03,1153,5.78,696,4.82,15
69,896,1.10,1172,7.55,642,-3.36,15
70,938,5.92,1173,7.65,753,13.45,15
71,915,3.34,1106,1.47,665,0.15,15
72,858,-3.18,1139,4.53,489,-26.31,15
73,880,-0.71,977,-10.34,764,15.11,15
74,872,-1.57,1105,1.38,701,5.57,15
75,960,8.32,1152,5.66,719,8.33,15
76,837,-5.56,1014,-6.97,638,-3.87,15
77,941,6.17,1119,2.69,748,12.70,15
78,874,-1.35,1031,-5.44,706,6.38,15
79,937,5.80,1188,8.99,787,18.47,15
80,856,-3.41,1070,-1.80,656,-1.20,15
81,861,-2.77,1045,-4.13,528,-20.53,15
82,946,6.76,1182,8.47,734,10.59,15
83,768,-13.25,1112,2.05,337,-49.20,15
84,884,-0.17,1021,-6.33,677,1.96,15
85,988,11.49,1248,14.46,671,1.10,15
86,916,3.42,1076,-1.25,749,12.85,15
