1,Sodium Cyclamate,{sodium cyclamate},{23665706},{CHEMBL273977},{CHEBI:82431},{C19378},{D02443}
2,Methyl Paraben,"{methyl paraben,methyl 4-hydroxybenzoate,methylparaben}",{7456},{CHEMBL325372},{CHEBI:31835},{},{D01400}
3,O-Acetylsalicylic Anhydride,{o-acetylsalicylic anhydride},{15110},{},{},{},{}
4,2-Aminoethyl Hydrogen Sulfate,"{2-aminoethyl hydrogen sulfate,ethanolamine-o-sulfate,sulfuric acid mono 2-aminoethylester}",{70223},{CHEMBL341858},{},{},{}
5,Sulisobenzone,{sulisobenzone},{19988},{CHEMBL2059073},{CHEBI:135312},{},{D05964}
6,Trans-Terpin,"{trans-terpin,terpin}",{6651},"{CHEMBL1513871,CHEMBL1414114,CHEMBL1651998}",{CHEBI:134806},{},{}
7,2-Iodohippuric Acid,"{2-iodohippuric acid,iodohippurate}",{8614},{CHEMBL1681},{CHEBI:140408},{},{}
8,Anthranilic Acid,{anthranilic acid},{227},{CHEMBL14173},{CHEBI:30754},{C00108},{}
9,Pyruvic Acid,"{pyruvic acid,pyruvate}",{1060},{CHEMBL1162144},{CHEBI:32816},{C00022},{}
10,Iodoform,{iodoform},{6374},{CHEMBL1451116},{CHEBI:37758},{C13383},{D01910}
11,Benzyl Salicylate,{benzyl salicylate},{8363},{CHEMBL460124},{CHEBI:165211},{},{}
12,Bromothymol Blue,"{bromothymol blue,bromothymol sulfone phthalein}",{6450},{CHEMBL3392578},{CHEBI:86155},{},{}
13,Bacitracin,{bacitracin},{6714010},{CHEMBL1868381},{CHEBI:94347},{C01667},{}
14,alpha-Methyl-DL-tyrosine,"{alpha-methyltyrosine,dl-alpha-methyltyrosine,alpha-methyltyrosine,amtp,racemetirosine}",{3125},{CHEMBL1330596},{},{},{D11606}
15,"3,5-Dibromosalicylaldehyde","{3,5-dibromosalicylaldehyde}",{7024},{CHEMBL229251},{},{},{}
16,Mechlorethamine Hydrochloride,"{mechlorethamine,mechlorethamine hydrochloride,mechlorethamine,chlormethine,mustine}",{5935},{CHEMBL1201001},{CHEBI:55368},{C07115},"{D04872,D07671}"
17,Crotamiton,{crotamiton},{688020},{CHEMBL1200709},{CHEBI:31439},{},{D01381}
18,Proflavine Hydrochloride,"{3,6-diaminoacridine,3,6-diaminoacridine hydrochloride,3,6-diaminoacridine,proflavine}",{197873},{CHEMBL606782},{CHEBI:74718},{C11181},{}
19,Indigo Carmine,{indigo carmine},{2723854},{CHEMBL2105023},{CHEBI:31695},{},{D01563}
20,Salicylanilide,{salicylanilide},{6872},{CHEMBL82970},{CHEBI:239133},{C18915},{}
21,Triethylenetetramine,"{triethylenetetramine,trientine}",{5565},{CHEMBL609},{CHEBI:39501},{C07166},{}
22,Dichlorophen,{dichlorophen},{3037},{CHEMBL33845},{CHEBI:34689},{C14292},{}
23,3-Methyl-1-Pentyn-3-ol,"{3-methyl-1-pentyn-3-ol,methylpentynol}",{6494},{CHEMBL501613},{CHEBI:134752},{},{D07332}
24,2-Benzylphenol,{2-benzylphenol},{24216},{CHEMBL122649},{},{},{}
25,Veratrole,{veratrole},{7043},{CHEMBL1668603},{CHEBI:59114},{},{}
