WEB ID;dose;weight
1;200;0.5
2;100;0
3;3;-1,9
4;30;-1,6
5;20;-1,1
6;100;1.5
7;100;0.2
8;20;-0,1
9;40;-0,7
10;5;-0,3
11;50;-1,7
12;0.05;-1
13;5;-1,6
14;10;-1,4
15;30;0.7
16;0.1;-0,2
17;20;-0,6
18;5;-1,8
19;10;0.7
20;40;0.4
21;5;0.3
22;15;-1,4
23;5;-2,2
24;10;-1,3
25;10;1.1
26;1;-2,3
27;10;-0,2
28;60;-2
29;100;-1,8
30;2;0.1
31;20;-0,7
32;5;1.4
33;50;-0,5
34;2;-0,4
35;1;2.5
36;40;-1,2
37;10;-2,3
38;4;-0,5
39;100;-1,5
40;100;-0,5
41;60;-1,6
42;3;-3,2
43;50;0.1
44;1;-0,4
45;10;-1,5
46;1;-3,9
47;50;0.7
48;200;1.8
49;1;0.7
50;20;-0,5
51;15;-1,4
52;1;-0,6
53;10;-1,6
54;6;0.5
55;500;-3,3
56;20;-0,5
57;50;-1,4
58;3;-2,1
59;10;-0,9
60;10;-2,9
61;10;0.8
62;10;-0,1
63;5;-1,6
64;13;-2,3
65;15;-2,5
66;40;-0,2
67;10;-0,2
68;10;-0,2
69;20;-0,1
70;3;0.7
71;10;-0,7
72;10;-0,6
73;100;-1,2
74;5;-3,3
75;1;0.2
76;0.5;-1,1
77;100;-1,1
78;4;-2,1
79;5;-0,2
80;2;0.1
81;1;-0,2
82;0.5;-1,5
83;10;-1,2
84;0.6;0.5
85;10;-0,7
86;0.015;-1,3
87;10;-5
88;20;-7
89;5;-0,5
90;5;-0,9
91;10;1.1
92;0.1;-1,8
93;10;-1,4
94;500;2.9
95;200;1.5
96;200;0
97;10;-1,2
98;0.5;-1,4
99;0.2;-0,9
100;20;0
101;50;-1
102;40;0.1
103;20;-1,9
104;30;0.7
105;10;-1,1
106;4;-2,1
107;20;-1,2
108;5;-3
109;0.4;-2,4
110;10;-2,4
111;50;1.9
112;20;-1,4
113;10;-0,7
114;20;-1,2
115;2.5;-1,1
116;1;-2,6
117;10;-2,6
118;1;-2,1
119;20;0.7
120;100;0.9
121;1;0.5
122;2;0.3
123;0.1;-2,3
124;2;-2,5
125;2;-1,2
126;15;-1,4
127;10;-1,3
128;0.05;0.7
129;10;0.6
130;0.2;-2,4
131;5;0.7
132;6;0
133;3;-1,2
134;0.5;-1,7
135;20;-0,6
136;2;-1,3
137;1;-0,4
138;20;-0,9
139;1;-5,3
140;50;-1,7
141;60;-2
142;50;0.1
143;40;0.1
144;50;-0,1
145;50;1
146;75;-0,7
147;1;-1,7
148;10;0.6
149;10;-1
150;20;1.3
151;20;1.1
152;10;0.2
153;20;0.1
154;80;0.9
155;10;1.6
156;50;1.8
157;10;1.2
158;100;2.3
159;100;0.9
160;300;2.2
161;10;1.2
162;30;1.2
163;10;-4,1
164;20;-0,5
165;400;0.2
166;50;-1,7
167;100;1.1
168;40;-1,4
169;5;-0,8
170;20;0
171;10;-0,6
172;40;0
173;50;-0,8
174;500;-3,4
175;100;-0,1
176;100;-1,5
177;30;-0,4
178;100;0.1
179;130;-1,2
180;2.5;-2,5
181;50;-3,2
182;15;1.6
183;20;-3,7
184;0.0007;0.1
185;50;-2,2
186;0.01;-1,8
187;20;-0,5
188;100;-0,4
189;20;-1
190;30;-0,5
191;10;-1,9
192;2;-1,2
193;1.5;-0,4
194;15;1.4
195;40;-1,6
196;10;-0,6
197;50;-0,7
198;30;-0,1
199;80;1.8
200;0.1;2
201;4;-2
202;5;-4,1
203;10;1.4
204;20;-0,9
205;100;0.8
206;30;-0,2
207;1.5;0
208;0.05;2
209;60;-1,9
210;60;-0,8
211;20;-1,3
212;100;1
213;40;0.1
214;0.5;0.4
215;10;-1,4
216;10;0.2
217;20;-0,4
218;50;-1,6
219;3;-2
220;20;-1,5
221;30;0.2
222;1;-0,2
223;5;0
224;500;3.3
225;30;-1
226;100;-0,8
227;1;-3,9
228;200;1.1
